420	314	1	111	197	13	0	0
64	19	0	197	111	73	0	0
103	359	3	66	68	22	0	0
124	184	2	68	66	31	0	0
385	250	5	136	137	42	0	0
234	345	4	137	136	99	0	0
338	425	7	192	193	39	0	0
142	165	6	193	192	74	0	0
26	137	9	91	93	59	0	0
82	195	8	93	91	53	0	0
463	378	11	105	106	3	0	0
558	172	10	106	105	1	0	0
443	456	13	44	49	61	0	0
71	80	12	49	44	38	0	0
171	239	15	36	40	40	0	0
367	176	14	40	36	24	0	0
364	305	17	150	151	2	0	0
320	515	16	151	150	85	0	0
225	421	19	108	111	66	0	0
1	292	18	111	108	73	0	0
66	52	21	152	153	25	0	0
23	579	20	153	152	26	0	0
53	220	23	153	181	58	0	0
562	21	22	181	153	26	0	0
122	164	25	141	191	21	0	0
520	255	24	191	141	56	0	0
148	8	27	56	91	59	0	0
194	206	26	91	56	27	0	0
418	296	29	31	32	2	0	0
77	394	28	32	31	76	0	0
274	482	31	132	168	68	0	0
553	193	30	168	132	55	0	0
215	267	33	23	25	82	0	0
400	136	32	25	23	37	0	0
241	586	35	0	14	45	0	0
191	88	34	14	0	80	0	0
532	343	37	145	146	52	0	0
554	109	36	146	145	35	0	0
220	329	39	194	196	58	0	0
398	316	38	196	194	84	0	0
160	373	41	172	173	75	0	0
139	101	40	173	172	47	0	0
575	557	43	119	120	6	0	0
182	283	42	120	119	28	0	0
186	346	45	57	58	18	0	0
455	207	44	58	57	86	0	0
125	350	47	62	103	11	0	0
332	485	46	103	62	18	0	0
121	460	49	70	147	67	0	0
321	439	48	147	70	10	0	0
152	473	51	39	41	49	0	0
299	238	50	41	39	20	0	0
20	481	53	153	156	25	0	0
197	22	52	156	153	58	0	0
353	551	55	50	59	82	0	0
493	71	54	59	50	38	0	0
430	404	57	75	166	77	0	0
374	434	56	166	75	33	0	0
323	134	59	1	18	63	0	0
301	496	58	18	1	88	0	0
512	271	61	9	10	92	0	0
305	500	60	10	9	2	0	0
393	522	63	114	117	28	0	0
410	223	62	117	114	0	0	0
292	1	65	195	197	73	0	0
315	398	64	197	195	84	0	0
286	20	67	78	152	25	0	0
578	156	66	152	78	41	0	0
380	318	69	101	176	55	0	0
151	504	68	176	101	64	0	0
457	352	71	49	50	54	0	0
55	13	70	50	49	38	0	0
359	348	73	67	71	22	0	0
252	517	72	71	67	34	0	0
112	382	75	17	19	51	0	0
300	132	74	19	17	17	0	0
297	476	77	32	33	50	0	0
396	29	76	33	32	76	0	0
498	325	79	29	38	49	0	0
363	169	78	38	29	0	0	0
13	376	81	44	85	38	0	0
119	442	80	85	44	62	0	0
335	9	83	92	93	53	0	0
136	269	82	93	92	37	0	0
172	564	85	112	113	1	0	0
422	278	84	113	112	66	0	0
166	433	87	121	122	36	0	0
141	326	86	122	121	93	0	0
35	488	89	0	16	80	0	0
107	240	88	16	0	63	0	0
331	338	91	83	140	39	0	0
123	208	90	140	83	65	0	0
590	379	93	162	164	15	0	0
487	412	92	164	162	7	0	0
471	464	95	158	159	87	0	0
224	313	94	159	158	9	0	0
218	511	97	88	144	71	0	0
533	323	96	144	88	63	0	0
131	428	99	45	46	72	0	0
579	562	98	46	45	26	0	0
366	161	101	133	172	20	0	0
41	232	100	172	133	47	0	0
185	121	103	66	72	67	0	0
348	2	102	72	66	22	0	0
272	505	105	63	104	16	0	0
350	516	104	104	63	11	0	0
489	228	107	16	20	32	0	0
134	89	106	20	16	63	0	0
256	533	109	5	145	63	0	0
37	144	108	145	5	35	0	0
394	459	111	154	155	76	0	0
389	480	110	155	154	29	0	0
541	74	113	3	17	51	0	0
133	391	112	17	3	44	0	0
291	508	115	12	27	90	0	0
169	340	114	27	12	0	0	0
564	531	117	115	118	1	0	0
522	182	116	118	115	28	0	0
377	406	119	85	184	8	0	0
311	81	118	184	85	62	0	0
438	349	121	70	72	91	0	0
102	48	120	72	70	67	0	0
339	24	123	140	141	21	0	0
254	91	122	141	140	65	0	0
484	3	125	62	68	31	0	0
358	46	124	68	62	11	0	0
326	174	127	126	127	93	0	0
402	371	126	127	126	60	0	0
184	205	129	89	90	31	0	0
195	548	128	90	89	53	0	0
563	580	131	45	87	48	0	0
219	98	130	87	45	72	0	0
75	229	133	17	21	17	0	0
453	113	132	21	17	44	0	0
58	107	135	18	20	63	0	0
229	300	134	20	18	17	0	0
33	83	137	23	93	37	0	0
8	214	136	93	23	59	0	0
372	595	139	173	174	41	0	0
560	41	138	174	173	47	0	0
432	453	141	122	123	44	0	0
449	87	140	123	122	93	0	0
545	7	143	186	193	74	0	0
424	263	142	193	186	46	0	0
109	588	145	5	26	35	0	0
577	257	144	26	5	81	0	0
294	370	147	73	125	5	0	0
441	416	146	125	73	77	0	0
214	26	149	55	56	59	0	0
207	550	148	56	55	86	0	0
319	528	151	176	178	4	0	0
450	69	150	178	176	64	0	0
325	50	153	37	39	49	0	0
239	171	152	39	37	40	0	0
230	520	155	86	190	56	0	0
280	377	154	190	86	8	0	0
67	372	157	78	171	41	0	0
161	287	156	171	78	20	0	0
362	177	159	76	77	57	0	0
567	222	158	77	76	83	0	0
373	40	161	171	172	75	0	0
100	157	160	172	171	20	0	0
391	542	163	2	34	44	0	0
296	364	162	34	2	2	0	0
24	339	165	191	192	21	0	0
7	521	164	192	191	74	0	0
397	86	167	11	121	36	0	0
327	294	166	121	11	5	0	0
509	499	169	27	29	16	0	0
79	115	168	29	27	0	0	0
177	324	171	36	37	57	0	0
153	14	170	37	36	40	0	0
11	84	173	105	112	1	0	0
279	462	172	112	105	33	0	0
126	369	175	127	131	93	0	0
275	403	174	131	127	69	0	0
15	566	177	36	77	24	0	0
158	170	176	77	36	57	0	0
217	556	179	43	53	96	0	0
588	554	178	53	43	35	0	0
411	265	181	13	97	78	0	0
437	341	180	97	13	95	0	0
117	43	183	115	120	28	0	0
556	565	182	120	115	96	0	0
3	128	185	66	89	31	0	0
549	102	184	89	66	67	0	0
485	44	187	54	57	18	0	0
206	204	186	57	54	27	0	0
263	227	189	182	183	46	0	0
574	569	188	183	182	23	0	0
587	538	191	14	15	94	0	0
447	35	190	15	14	80	0	0
527	275	193	80	132	69	0	0
31	598	192	132	80	55	0	0
204	27	195	90	91	27	0	0
9	129	194	91	90	53	0	0
480	389	197	156	157	29	0	0
329	53	196	157	156	58	0	0
412	405	199	163	167	7	0	0
440	535	198	167	163	60	0	0
456	251	201	51	139	61	0	0
478	536	200	139	51	88	0	0
442	308	203	82	135	62	0	0
561	234	202	135	82	99	0	0
187	194	205	54	90	27	0	0
128	484	204	90	54	31	0	0
27	187	207	56	57	27	0	0
45	149	206	57	56	86	0	0
91	254	209	83	84	65	0	0
360	330	208	84	83	98	0	0
469	599	211	94	95	12	0	0
426	259	210	95	94	90	0	0
592	577	213	47	48	81	0	0
277	260	212	48	47	39	0	0
137	148	215	23	55	59	0	0
551	32	214	55	23	82	0	0
555	546	217	43	109	97	0	0
423	178	216	109	43	96	0	0
581	96	219	87	88	71	0	0
322	131	218	88	87	72	0	0
22	38	221	181	194	58	0	0
317	563	220	194	181	48	0	0
159	392	223	76	114	83	0	0
63	363	222	114	76	0	0	0
293	95	225	108	159	9	0	0
465	18	224	159	108	66	0	0
276	575	227	175	183	6	0	0
188	424	226	183	175	46	0	0
106	452	229	20	21	32	0	0
132	135	228	21	20	17	0	0
288	154	231	61	86	56	0	0
376	493	230	86	61	38	0	0
101	596	233	133	134	47	0	0
571	367	232	134	133	24	0	0
203	5	235	82	137	99	0	0
251	443	234	137	82	61	0	0
566	571	237	187	189	24	0	0
466	545	236	189	187	74	0	0
51	366	239	39	40	20	0	0
14	153	238	40	39	40	0	0
89	256	241	0	4	63	0	0
593	34	240	4	0	45	0	0
525	498	243	6	28	49	0	0
273	354	242	28	6	34	0	0
559	590	245	79	96	15	0	0
265	530	244	96	79	78	0	0
445	450	247	99	100	64	0	0
260	331	246	100	99	39	0	0
419	286	249	30	42	25	0	0
298	501	248	42	30	19	0	0
4	479	251	137	139	42	0	0
200	235	250	139	137	61	0	0
386	73	253	69	71	34	0	0
349	438	252	71	69	91	0	0
208	123	255	84	141	65	0	0
25	361	254	141	84	56	0	0
240	108	257	4	5	63	0	0
145	592	256	5	4	81	0	0
491	468	259	64	94	89	0	0
211	291	258	94	64	90	0	0
213	247	261	47	100	39	0	0
451	593	260	100	47	45	0	0
568	544	263	182	186	83	0	0
143	188	262	186	182	46	0	0
591	436	265	96	97	12	0	0
180	245	264	97	96	78	0	0
382	401	267	24	25	51	0	0
32	408	266	25	24	82	0	0
540	334	269	22	92	79	0	0
83	400	268	92	22	37	0	0
387	304	271	8	10	10	0	0
60	355	270	10	8	92	0	0
499	104	273	28	63	16	0	0
517	243	272	63	28	34	0	0
368	30	275	131	132	68	0	0
192	175	274	132	131	69	0	0
576	226	277	48	175	6	0	0
425	213	276	175	48	39	0	0
85	465	279	112	161	66	0	0
306	173	278	161	112	33	0	0
406	155	281	188	190	8	0	0
521	466	280	190	188	74	0	0
569	574	283	116	119	23	0	0
43	393	282	119	116	28	0	0
528	415	285	179	180	4	0	0
572	587	284	180	179	94	0	0
248	66	287	42	78	25	0	0
157	299	286	78	42	20	0	0
361	230	289	60	61	56	0	0
492	455	288	61	60	86	0	0
341	490	291	12	64	95	0	0
259	114	290	64	12	90	0	0
19	64	293	108	195	73	0	0
399	224	292	195	108	9	0	0
167	146	295	11	73	5	0	0
417	396	294	73	11	76	0	0
28	163	297	32	34	2	0	0
543	76	296	34	32	50	0	0
472	249	299	41	42	19	0	0
287	51	298	42	41	20	0	0
135	75	301	18	19	17	0	0
383	59	300	19	18	88	0	0
507	356	303	128	129	68	0	0
488	447	302	129	128	80	0	0
270	321	305	10	151	10	0	0
16	61	304	151	10	2	0	0
434	279	307	160	161	33	0	0
464	471	306	161	160	87	0	0
202	311	309	135	185	62	0	0
596	560	308	185	135	47	0	0
407	597	311	184	185	43	0	0
308	119	310	185	184	62	0	0
494	470	313	107	158	70	0	0
95	458	312	158	107	9	0	0
0	585	315	197	198	13	0	0
337	65	314	198	197	84	0	0
39	337	317	194	199	84	0	0
580	221	316	199	194	48	0	0
68	553	319	176	177	55	0	0
415	150	318	177	176	4	0	0
461	17	321	147	151	85	0	0
304	49	320	151	147	10	0	0
497	219	323	1	88	72	0	0
97	58	322	88	1	63	0	0
170	362	325	37	38	57	0	0
78	152	324	38	37	49	0	0
87	126	327	121	126	93	0	0
370	167	326	126	121	5	0	0
388	399	329	157	196	9	0	0
38	197	328	196	157	58	0	0
209	444	331	83	99	98	0	0
247	90	330	99	83	39	0	0
346	47	333	102	103	18	0	0
351	445	332	103	102	64	0	0
268	514	335	92	149	79	0	0
502	82	334	149	92	53	0	0
584	581	337	198	199	71	0	0
316	315	336	199	198	84	0	0
90	6	339	140	192	39	0	0
164	122	338	192	140	21	0	0
115	410	341	12	13	0	0	0
181	290	340	13	12	95	0	0
582	555	343	142	146	97	0	0
36	474	342	146	142	52	0	0
428	384	345	81	136	72	0	0
5	594	344	136	81	99	0	0
44	332	347	58	102	18	0	0
444	454	346	102	58	98	0	0
72	103	349	71	72	22	0	0
120	253	348	72	71	91	0	0
46	105	351	103	104	11	0	0
504	333	350	104	103	64	0	0
70	537	353	50	52	54	0	0
408	54	352	52	50	82	0	0
243	386	355	6	8	34	0	0
271	524	354	8	6	92	0	0
302	368	357	129	130	68	0	0
448	489	356	130	129	32	0	0
516	125	359	67	68	11	0	0
2	72	358	68	67	22	0	0
454	209	361	60	84	98	0	0
255	288	360	84	60	56	0	0
324	158	363	38	76	57	0	0
223	79	362	76	38	0	0	0
163	16	365	2	150	2	0	0
514	390	364	150	2	79	0	0
238	100	367	40	133	20	0	0
233	15	366	133	40	24	0	0
356	274	369	130	131	68	0	0
174	449	368	131	130	93	0	0
146	327	371	125	126	5	0	0
127	440	370	126	125	60	0	0
156	138	373	171	173	41	0	0
40	160	372	173	171	75	0	0
462	57	375	165	166	33	0	0
405	487	374	166	165	7	0	0
80	231	377	85	86	38	0	0
155	118	376	86	85	8	0	0
10	486	379	106	164	3	0	0
92	559	378	164	106	15	0	0
427	68	381	65	101	55	0	0
505	509	380	101	65	16	0	0
74	266	383	19	24	51	0	0
409	301	382	24	19	88	0	0
344	497	385	136	138	72	0	0
479	4	384	138	136	42	0	0
354	252	387	8	69	34	0	0
439	270	386	69	8	10	0	0
458	328	389	155	157	9	0	0
196	111	388	157	155	29	0	0
365	540	391	2	3	79	0	0
113	162	390	3	2	44	0	0
222	568	393	114	116	83	0	0
283	62	392	116	114	28	0	0
29	110	395	31	154	76	0	0
481	419	394	154	31	25	0	0
295	77	397	11	33	76	0	0
477	166	396	33	11	36	0	0
65	39	399	195	196	84	0	0
328	293	398	196	195	9	0	0
269	33	401	22	25	37	0	0
266	541	400	25	22	51	0	0
535	127	403	124	127	60	0	0
175	527	402	127	124	69	0	0
56	441	405	166	167	77	0	0
198	375	404	167	166	7	0	0
118	280	407	184	188	8	0	0
467	310	406	188	184	43	0	0
267	353	409	24	52	82	0	0
536	383	408	52	24	88	0	0
340	63	411	13	117	0	0	0
523	180	410	117	13	78	0	0
93	198	413	162	163	7	0	0
534	591	412	163	162	12	0	0
552	573	415	177	180	14	0	0
284	319	414	180	177	4	0	0
147	430	417	73	74	77	0	0
495	295	416	74	73	76	0	0
500	28	419	30	31	2	0	0
395	248	418	31	30	25	0	0
583	0	421	110	111	13	0	0
18	547	420	111	110	66	0	0
547	85	423	109	113	66	0	0
565	217	422	113	109	96	0	0
227	143	425	175	193	46	0	0
6	277	424	193	175	39	0	0
508	211	427	65	95	90	0	0
598	380	426	95	65	55	0	0
98	344	429	46	81	72	0	0
595	578	428	81	46	41	0	0
416	56	431	74	75	77	0	0
435	494	430	75	74	70	0	0
542	140	433	35	122	44	0	0
86	477	432	122	35	36	0	0
57	306	435	75	160	33	0	0
470	431	434	160	75	70	0	0
264	469	437	97	98	12	0	0
490	181	436	98	97	95	0	0
253	120	439	69	70	91	0	0
49	387	438	70	69	10	0	0
371	199	441	125	167	60	0	0
404	147	440	167	125	77	0	0
81	202	443	44	82	62	0	0
235	12	442	82	44	61	0	0
330	347	445	99	102	98	0	0
333	246	444	102	99	64	0	0
539	506	447	15	128	30	0	0
303	191	446	128	15	80	0	0
452	357	449	123	130	32	0	0
369	141	448	130	123	93	0	0
246	151	451	100	178	64	0	0
529	261	450	178	100	45	0	0
228	448	453	21	123	32	0	0
140	133	452	123	21	44	0	0
347	360	455	58	60	98	0	0
289	45	454	60	58	86	0	0
12	200	457	49	51	61	0	0
537	70	456	51	49	54	0	0
313	388	459	107	155	9	0	0
110	495	458	155	107	76	0	0
48	549	461	147	148	67	0	0
503	320	460	148	147	85	0	0
173	374	463	105	165	33	0	0
486	10	462	165	105	3	0	0
94	307	465	159	161	87	0	0
278	225	464	161	159	66	0	0
281	237	467	188	189	74	0	0
570	407	466	189	188	43	0	0
258	491	469	94	98	89	0	0
436	210	468	98	94	12	0	0
312	435	471	158	160	70	0	0
307	94	470	160	158	87	0	0
513	298	473	7	41	19	0	0
50	525	472	41	7	49	0	0
343	510	475	142	143	52	0	0
585	583	474	143	142	13	0	0
76	543	477	33	35	50	0	0
433	397	476	35	33	36	0	0
496	201	479	138	139	88	0	0
250	385	478	139	138	42	0	0
111	196	481	154	156	29	0	0
52	395	480	156	154	25	0	0
30	507	483	168	169	68	0	0
519	552	482	169	168	14	0	0
205	124	485	54	62	31	0	0
47	186	484	62	54	18	0	0
378	463	487	164	165	3	0	0
375	93	486	165	164	7	0	0
88	303	489	16	129	80	0	0
357	106	488	129	16	32	0	0
290	437	491	64	98	95	0	0
468	258	490	98	64	89	0	0
550	289	493	59	61	86	0	0
231	55	492	61	59	38	0	0
431	312	495	74	107	70	0	0
459	417	494	107	74	76	0	0
59	478	497	1	138	88	0	0
384	322	496	138	1	72	0	0
242	78	499	28	29	49	0	0
168	272	498	29	28	16	0	0
61	418	501	9	30	2	0	0
249	513	500	30	9	19	0	0
548	335	503	148	149	53	0	0
515	461	502	149	148	85	0	0
69	351	505	101	104	64	0	0
104	381	504	104	101	16	0	0
446	518	507	128	169	30	0	0
482	302	506	169	128	68	0	0
114	426	509	27	65	90	0	0
381	168	508	65	27	16	0	0
474	532	511	143	144	52	0	0
96	584	510	144	143	71	0	0
524	60	513	7	9	92	0	0
501	472	512	9	7	19	0	0
334	365	515	149	150	79	0	0
17	503	514	150	149	85	0	0
105	358	517	63	67	11	0	0
73	273	516	67	63	34	0	0
506	539	519	169	170	30	0	0
573	483	518	170	169	14	0	0
154	25	521	190	191	56	0	0
165	281	520	191	190	74	0	0
62	117	523	117	118	28	0	0
530	411	522	118	117	78	0	0
355	512	525	6	7	92	0	0
473	242	524	7	6	49	0	0
599	534	527	80	124	12	0	0
403	192	526	124	80	69	0	0
150	284	529	178	179	4	0	0
586	451	528	179	178	45	0	0
245	523	531	79	118	78	0	0
116	558	530	118	79	1	0	0
510	36	533	144	145	52	0	0
108	97	532	145	144	63	0	0
526	413	535	124	163	12	0	0
199	402	534	163	124	60	0	0
201	409	537	51	52	88	0	0
352	457	536	52	51	54	0	0
190	572	539	15	170	94	0	0
518	446	538	170	15	30	0	0
390	268	541	3	22	79	0	0
401	112	540	22	3	51	0	0
162	432	543	34	35	44	0	0
476	297	542	35	34	50	0	0
262	567	545	186	187	83	0	0
237	142	544	187	186	74	0	0
216	582	547	109	110	97	0	0
421	422	546	110	109	66	0	0
129	502	549	89	148	53	0	0
460	185	548	148	89	67	0	0
149	492	551	55	59	86	0	0
54	215	550	59	55	82	0	0
483	414	553	168	177	14	-1	0
318	31	552	177	168	55	1	0
179	37	555	43	146	35	0	1
342	216	554	146	43	97	0	-1
178	183	557	53	120	96	-1	0
42	589	556	120	53	6	1	0
531	11	559	79	106	1	1	0
379	244	558	106	79	15	-1	0
309	139	561	135	174	47	0	-1
594	203	560	174	135	99	0	1
99	23	563	45	181	26	0	-1
221	130	562	181	45	48	0	1
84	116	565	113	115	1	-1	0
183	423	564	115	113	96	1	0
176	236	567	77	187	24	0	1
544	159	566	187	77	83	0	-1
392	262	569	116	182	83	0	1
189	282	568	182	116	23	0	-1
597	467	571	134	189	43	0	1
236	233	570	189	134	24	0	-1
538	285	573	170	180	94	-1	0
414	519	572	180	170	14	1	0
282	189	575	119	183	23	0	1
226	42	574	183	119	6	0	-1
589	276	577	26	48	6	-1	0
212	145	576	48	26	81	1	0
429	67	579	46	152	41	0	-1
21	99	578	152	46	26	0	1
130	317	581	87	199	48	0	-1
336	218	580	199	87	71	0	1
546	342	583	110	142	97	0	1
475	420	582	142	110	13	0	-1
511	336	585	143	198	71	0	-1
314	475	584	198	143	13	0	1
34	529	587	14	179	45	-1	0
285	190	586	179	14	94	1	0
144	179	589	26	53	35	0	-1
557	576	588	53	26	6	0	1
244	92	591	96	162	15	1	0
413	264	590	162	96	12	-1	0
257	212	593	4	47	81	-1	0
261	241	592	47	4	45	1	0
345	561	595	81	174	99	0	-1
138	429	594	174	81	41	0	1
232	309	597	134	185	47	0	1
310	570	596	185	134	43	0	-1
193	427	599	80	95	55	-1	0
210	526	598	95	80	12	1	0
